Haitian restaurant,2
Haute French restaurant,2
Historical landmark,18
Farm,4
Pottery store,3
Honduran restaurant,6
Golf club,1
University,1
Mobile caterer,4
Gambling house,6
Antique store,20
Winery,9
Beer hall,5
Açaí shop,1
Business management consultant,2
Food seasoning manufacturer,1
South Asian restaurant,9
Market,5
Asian household goods store,1
Turkish restaurant,5
Public beach,1
Farmers' market,4
Leather goods store,1
Train station,1
African restaurant,10
Landscaper,2
Creole restaurant,2
Brunch restaurant,19
Art gallery,2
Veterans organization,7
Warehouse store,1
Place of worship,1
Modern Indian restaurant,12
Dessert restaurant,4
Cheesesteak restaurant,2
Izakaya restaurant,8
Culinary school,1
Candy store,3
Patisserie,1
German restaurant,14
Javanese restaurant,1
Performing arts theater,1
Guest house,2
Spiritist center,1
Tex-Mex restaurant,20
Nature preserve,1
Boat rental service,3
Polish restaurant,6
Chesapeake restaurant,1
Animal feed store,5
Appliance rental service,1
Box lunch restaurant,1
Burrito restaurant,6
Bus stop,4
Casino,27
Catering food and drink supplier,4
Chinese supermarket,10
College,2
Community center,6
Continental restaurant,1
Conveyor belt sushi restaurant,9
Corporate office,9
Ethiopian restaurant,5
Firewood supplier,1
Fruit and vegetable store,3
Garden,3
Health food store,2
Heritage museum,1
Hoagie restaurant,1
Home health care service,1
Indoor lodging,7
Kebab shop,3
Kitchen supply store,1
Lake,2
Lottery shop,1
Martial arts school,3
Massage therapist,14
Mennonite church,1
Mid-Atlantic restaurant (US),2
Miniature golf course,1
Newspaper publisher,4
Nuevo Latino restaurant,1
Oriental goods store,1
Pennsylvania Dutch restaurant,3
Physical therapist,1
Playground,2
Postal code,1385
Private college,1
Public university,1
Ranch,2
Restaurant or cafe,4
Sake brewery,1
Stand bar,1
Steamed bun shop,11
Swiss restaurant,3
Tourist information center,1
Truck stop,23
Venezuelan restaurant,1
City courthouse,1
Real estate agency,1
Gift basket store,1
Hospital,3
Martial arts club,1
Housing authority,2
Jehovah's Witness Kingdom Hall,2
Hardware store,8
Sporting goods store,2
Sculpture,2
Soup restaurant,4
Employment agency,1
Cannabis store,12
Government office,6
Thrift store,1
Native American restaurant,5
Church of Jesus Christ of Latter-day Saints,1
Syokudo and Teishoku restaurant,1
Towing service,1
Locksmith,1
Heliport,1
Yakiniku restaurant,3
Spice store,3
Soup shop,2
Food and beverage exporter,1
Soft drinks shop,1
Air force base,3
Hiking area,1
Tire shop,8
Monument,1
Conservation department,1
Swimming pool,1
Butcher shop,10
Meat wholesaler,3
Oil & natural gas company,1
Beauty salon,4
Syrian restaurant,1
Fondue restaurant,2
Donut shop,21
Catholic church,1
Cabin rental agency,1
Tour operator,1
Tour agency,1
Toll booth,1
Salsa bar,1
Produce market,4
Produce wholesaler,2
Argentinian restaurant,1
Singaporean restaurant,5
Florist,10
Pie shop,3
Historical place,3
Federal government office,1
Auto repair shop,8
Self service restaurant,3
City Hall,3
Public swimming pool,1
Native american goods store,1
Pharmacy,13
Coffee stand,2
Acupuncturist,4
Shed builder,1
Preschool,2
Apartment building,4
Water park,1
Day care center,5
Animal hospital,2
Chinese tea house,4
Pastry shop,1
Family practice physician,1
Food processing company,3
Frozen food store,1
Pool hall,1
Tax preparation service,1
Real estate developer,1
Plaza,2
Shandong restaurant,3
Outlet mall,1
Korean rib restaurant,1
Building materials supplier,1
Arts organization,1
Social club,1
Chiropractor,8
Veterinarian,8
Food production,1
Oil change service,1
Nutritionist,3
Money transfer service,1
Meat products store,3
Pancake restaurant,2
Cottage rental,1
Chamber of Commerce,1
Home goods store,6
Fertilizer supplier,1
Sundanese restaurant,1
Chinese language school,4
East African restaurant,5
Discount store,1
Rustic furniture store,1
Livestock auction house,2
Live music venue,1
Social worker,1
Construction and maintenance office,1
Meat processor,6
Chicken shop,5
Methodist church,5
Nursing home,9
Manufacturer,6
Flea market,2
Wing chun school,1
Boutique,2
Art cafe,1
Bait shop,1
Brake shop,1
Property management company,1
Mutton barbecue restaurant,1
Furniture wholesaler,1
Popcorn store,1
Art museum,1
Used furniture store,1
Bingo hall,1
Video arcade,2
Agricultural cooperative,2
Truck repair shop,1
Pet store,1
Tack shop,1
Sweets and dessert buffet,1
Plant nursery,1
Delivery service,5
Tamale shop,1
BBQ area,1
Dance hall,1
Suppon restaurant,1
Bowling club,1
Vending machine,1
Religious organization,2
United Methodist church,2
Police department,1
Off roading area,1
Primary school,1
Farm equipment supplier,2
Oyster bar restaurant,6
Water utility company,1
Mountain pass,1
Meat dish restaurant,2
Pet groomer,4
Siding contractor,2
Window tinting service,1
Hunting area,1
Czech restaurant,1
Sand plant,1
ATM,2
Festival,1
Nail salon,1
Chettinad restaurant,1
Grain elevator,4
Business to business service,1
Wildlife and safari park,1
Ukrainian restaurant,1
Consultant,1
Tonkatsu restaurant,2
Wholesaler,2
Foot massage parlor,1
Cultural center,1
Japanese delicatessen,1
Armenian restaurant,4
Pacific Rim restaurant,7
Natural goods store,1
Pagoda,1
Taoist temple,1
News service,1
Pacific Northwest restaurant (US),3
Udon noodle restaurant,7
Californian restaurant,11
Sukiyaki and Shabu Shabu restaurant,6
Social services organization,2
Russian restaurant,5
Marine supply store,1
Wedding bakery,1
Garden center,3
Hakka restaurant,4
Livestock breeder,1
Train depot,1
Taxi service,1
Karaoke bar,3
Rodeo,1
Buddhist temple,2
Tapas bar,2
Sicilian restaurant,1
Family service center,1
Cooking class,1
Laundromat,3
Golf course,1
Fish & chips restaurant,6
Fairground,2
Mountain peak,1
Chinese food,1
Tortilla shop,1
Plumber,1
Travel agency,2
Wholesale food store,1
Ghost town,1
Elementary school,1
Youth hostel,1
Balinese restaurant,1
Language school,3
Yakitori restaurant,1
