id,date,duration(seconds),duration(minutes)
5f1095fdc17a1b0c015e8908,8/9/2023 13:25:46,1245,20.75
63d13d214a2a7a3987f88f5b,8/9/2023 13:27:01,1584,26.4
5f1095fdc17a1b0c015e8908,8/9/2023 14:29:01,1229,20.483333333333334
63d13d214a2a7a3987f88f5b,8/9/2023 14:35:43,1350,22.5
5f1095fdc17a1b0c015e8908,8/9/2023 13:46:57,1176,19.6
606b197a43dfda2edcd80803,8/9/2023 13:44:02,2347,39.11666666666667
5f1095fdc17a1b0c015e8908,8/9/2023 14:06:51,1304,21.733333333333334
606b197a43dfda2edcd80803,8/9/2023 14:26:15,2228,37.13333333333333
5f1095fdc17a1b0c015e8908,8/9/2023 14:49:43,1055,17.583333333333332
5f42d7f515c23f500bd34d57,8/9/2023 15:02:15,2914,48.56666666666667
606b197a43dfda2edcd80803,8/10/2023 8:27:05,2941,49.016666666666666
63bc7562fc676fcc04f9c640,8/10/2023 8:48:23,1136,18.933333333333334
5f42d7f515c23f500bd34d57,8/10/2023 9:03:28,1456,24.266666666666666
63bc7562fc676fcc04f9c640,8/10/2023 9:07:33,879,14.65
5f42d7f515c23f500bd34d57,8/10/2023 9:28:04,1268,21.133333333333333
63bc7562fc676fcc04f9c640,8/10/2023 9:37:05,1054,17.566666666666666
606b197a43dfda2edcd80803,8/10/2023 9:49:57,2246,37.43333333333333
63bc7562fc676fcc04f9c640,8/10/2023 9:55:08,1028,17.133333333333333
606b197a43dfda2edcd80803,8/10/2023 9:16:22,1988,33.13333333333333
63bc7562fc676fcc04f9c640,8/10/2023 9:22:37,896,14.933333333333334
