id,date,duration
5f42d7f515c23f500bd34d57,2023-08-07 10:37:14,1812
5d8cb1c93a7d5c00196eae92,2023-08-07 11:26:43,2777
5ea2462990d52b150bc75189,8/7/2023 11:00:28,3780
63bc7562fc676fcc04f9c640,8/8/2023 8:53:15,1520
5f3ba39206b3218cf379659d,8/7/2023 15:39:44,3829
63d4113aef8f15b7671adab1,8/8/2023 9:09:28,1586
5f1095fdc17a1b0c015e8908,8/7/2023 15:33:05,1513
60211a7c07e6f203ccb99231,8/7/2023 15:34:56,1748
5f69224589c196105b7e1fac,8/7/2023 15:35:12,3577
60211a7c07e6f203ccb99231,8/7/2023 16:18:21,1022
5f1095fdc17a1b0c015e8908,8/7/2023 16:20:41,1485
5c7dd19f896a0b00151c1d20,8/7/2023 16:19:32,2989
5f1906e205fbde157926a32f,8/8/2023 9:43:35,1437
63d4113aef8f15b7671adab1,8/8/2023 9:54:27,1185
5f1906e205fbde157926a32f,8/8/2023 10:07:49,1070
63d13d214a2a7a3987f88f5b,8/8/2023 13:08:55,1369
5f42d7f515c23f500bd34d57,8/8/2023 10:17:42,1216
6009a6d9be921301e3e6cef2,8/8/2023 10:16:34,4425
63d4113aef8f15b7671adab1,8/8/2023 10:24:24,1101
5f1906e205fbde157926a32f,8/8/2023 10:25:55,1315
63d4113aef8f15b7671adab1,8/8/2023 10:43:19,760
5f42d7f515c23f500bd34d57,8/8/2023 10:41:36,1442
5e34d7b2cf93104ac7915090,8/8/2023 14:29:22,2033
602e763eef81ce9e57528e1e,8/8/2023 14:30:04,1499
606b197a43dfda2edcd80803,8/8/2023 14:34:03,1996
5f0e322f27b2a615c01a785a,8/8/2023 14:34:57,2076
5db325a56c8068000db18295,8/8/2023 14:09:44,1076
5c913839a6e0aa00162c2ca5,8/8/2023 14:42:14,2540
