file_id,agreement
0.0,0.0
30.0,0.2990654205607476
60.0,0.5
90.0,0.1558441558441557
120.0,0.1841004184100418
150.0,0.8611111111111112
180.0,0.7058823529411765
210.0,0.7982062780269058
240.0,0.6666666666666667
270.0,0.5909090909090909
300.0,0.3902439024390243
330.0,0.5588235294117647
360.0,0.8
390.0,0.7887323943661971
420.0,0.8492462311557789
460.0,0.7
500.0,0.7487437185929648
540.0,0.7536945812807881
580.0,0.8958333333333334
620.0,0.6052631578947368
660.0,0.6446700507614214
700.0,0.7959183673469388
740.0,0.6703296703296704
780.0,0.8265895953757225
820.0,0.5833333333333333
860.0,0.736842105263158
900.0,0.8979591836734694
940.0,0.8477157360406091
980.0,0.8461538461538461
1020.0,0.7
1060.0,0.7953964194373402
1100.0,0.949748743718593
1140.0,0.7959183673469388
1180.0,0.9
1220.0,0.6491228070175439
1270.0,0.6869409660107335
1320.0,0.7058823529411764
1370.0,0.72875226039783
1420.0,0.460708782742681
1470.0,0.5253164556962026
1520.0,0.5378151260504203
1570.0,0.6688741721854304
1620.0,0.5348837209302325
1670.0,0.6815286624203822
1720.0,0.7580645161290323
1770.0,0.576271186440678
1820.0,1.0
1870.0,0.7920133111480865
1920.0,0.7345132743362832
1970.0,0.6774193548387097
2020.0,0.7580645161290323
2070.0,0.7940691927512356
2120.0,0.7491638795986622
2170.0,0.72
2220.0,0.7536945812807881
2270.0,0.776386404293381
2320.0,0.6073298429319371
2370.0,0.6627318718381112
2420.0,0.7580645161290323
2470.0,0.6627318718381112
2520.0,0.4496855345911948
2570.0,0.5222929936305732
2620.0,0.7191011235955056
2670.0,0.6799999999999999
2720.0,0.4382022471910112
2770.0,0.511400651465798
2820.0,0.5975855130784709
2870.0,0.722662440570523
2920.0,0.6902654867256637
2970.0,0.7244094488188977
3020.0,0.5008319467554077
3070.0,0.6256239600665557
3120.0,0.6467817896389325
3170.0,0.7940691927512356
3220.0,0.830220713073005
3270.0,0.8
3320.0,0.469820554649266
3370.0,0.8313659359190556
3420.0,0.6601941747572816
3470.0,0.8012718600953895
3520.0,0.6467817896389325
3570.0,0.5377503852080123
3620.0,0.6845425867507886
3670.0,0.6987951807228916
3720.0,0.6737357259380098
3770.0,0.5253164556962026
3820.0,0.7217806041335453
3870.0,0.8344370860927153
3920.0,0.64
3970.0,0.7899159663865546
