,name,location_link,site,us_state,type,subtypes,Area,rating
1058,Moon Palace,"https://www.google.com/maps/place/Moon+Palace/@46.290345099999996,-119.2755236,14z/data=!4m8!1m2!2m1!1sMoon+Palace!3m4!1s0x54987ad1095decdf:0x8b12b9b2df5a40cb!8m2!3d46.290345099999996!4d-119.2755236",,Washington,Chinese restaurant,Chinese restaurant,2,4.4
1059,Plenty of Clouds,"https://www.google.com/maps/place/Plenty+of+Clouds/@47.6151397,-122.3125827,14z/data=!4m8!1m2!2m1!1sPlenty+of+Clouds!3m4!1s0x54906b1e00b70dff:0x4e2d95785a7d0216!8m2!3d47.6151397!4d-122.3125827",http://plentyofclouds.com/,Washington,Sichuan restaurant,Sichuan restaurant,2,4.5
1060,New Garden Restaurant,"https://www.google.com/maps/place/New+Garden+Restaurant/@46.7270751,-117.1841274,14z/data=!4m8!1m2!2m1!1sNew+Garden+Restaurant!3m4!1s0x549f80c7b8aa2595:0x8ed39040a020d3b2!8m2!3d46.7270751!4d-117.1841274",https://www.facebook.com/New-Garden-Restaurant-86852747431/,Washington,Chinese restaurant,Chinese restaurant,1,4.5
1061,Great Wall Super Chinese Buffet,"https://www.google.com/maps/place/Great+Wall+Super+Chinese+Buffet/@46.2345295,-119.2227547,14z/data=!4m8!1m2!2m1!1sGreat+Wall+Super+Chinese+Buffet!3m4!1s0x54987a269fd703cf:0x57954593386ec2fe!8m2!3d46.2345295!4d-119.2227547",,Washington,Chinese restaurant,"Chinese restaurant, Buffet restaurant, Fast food restaurant",2,3.8
1062,Harbor City Tacoma Restaurant,"https://www.google.com/maps/place/Harbor+City+Tacoma+Restaurant/@47.213056699999996,-122.4343038,14z/data=!4m8!1m2!2m1!1sHarbor+City+Tacoma+Restaurant!3m4!1s0x5490ff3a543c206d:0x520a7c246ac367b8!8m2!3d47.213056699999996!4d-122.4343038",https://harborcitytacoma.com/,Washington,Chinese restaurant,Chinese restaurant,2,4.2
1063,Chan's Place - Woodinville,"https://www.google.com/maps/place/Chan%27s+Place+-+Woodinville/@47.7540476,-122.1487944,14z/data=!4m8!1m2!2m1!1sChan%27s+Place+-+Woodinville!3m4!1s0x54900c2630f9d01b:0xa371dc0877900e69!8m2!3d47.7540476!4d-122.1487944",https://www.chansplaces.com/,Washington,Chinese restaurant,"Chinese restaurant, Restaurant",2,4.3
1064,Fortune Star Chinese Restaurant,"https://www.google.com/maps/place/Fortune+Star+Chinese+Restaurant/@48.0794496,-123.1008598,14z/data=!4m8!1m2!2m1!1sFortune+Star+Chinese+Restaurant!3m4!1s0x548fbf599dca6039:0xeba243c7d188944c!8m2!3d48.0794496!4d-123.1008598",,Washington,Chinese restaurant,Chinese restaurant,1,4.3
1065,Mandarin House,"https://www.google.com/maps/place/Mandarin+House/@46.7299443,-117.18187169999999,14z/data=!4m8!1m2!2m1!1sMandarin+House!3m4!1s0x549f8726d4c53ca3:0x968d1f13695ea795!8m2!3d46.7299443!4d-117.18187169999999",http://pullmanchinesefood.com/,Washington,Chinese restaurant,Chinese restaurant,1,4.5
1066,Sunny Teriyaki,"https://www.google.com/maps/place/Sunny+Teriyaki/@47.5954828,-122.62823259999999,14z/data=!4m8!1m2!2m1!1sSunny+Teriyaki!3m4!1s0x549039efb8a419b1:0xba6816825a01c217!8m2!3d47.5954828!4d-122.62823259999999",,Washington,Chinese restaurant,"Chinese restaurant, Asian restaurant, Barbecue restaurant, Japanese restaurant, Takeout Restaurant",2,4.2
1067,Hong Kong Restaurant,"https://www.google.com/maps/place/Hong+Kong+Restaurant/@48.432379399999995,-122.3347659,14z/data=!4m8!1m2!2m1!1sHong+Kong+Restaurant!3m4!1s0x54856c2043a012a1:0xf42a82209b1abc3!8m2!3d48.432379399999995!4d-122.3347659",http://www.hongkongrestaurantmv.com/,Washington,Chinese restaurant,Chinese restaurant,2,4.3
1068,Lemon Grass Restaurant Lacey,"https://www.google.com/maps/place/Lemon+Grass+Restaurant+Lacey/@47.060752699999995,-122.76822639999999,14z/data=!4m8!1m2!2m1!1sLemon+Grass+Restaurant+Lacey!3m4!1s0x54910bbe18d7abaf:0x65b9bd311b8512a1!8m2!3d47.060752699999995!4d-122.76822639999999",https://thelemongrassrestaurants.net/?page_id=4021,Washington,Chinese restaurant,"Chinese restaurant, Bar, Asian restaurant, Restaurant, Taiwanese restaurant",2,4.2
1069,Orient Express,"https://www.google.com/maps/place/Orient+Express/@47.191446299999996,-122.4203768,14z/data=!4m8!1m2!2m1!1sOrient+Express!3m4!1s0x5490fe2d0e1486d7:0x38b8f3ee99141492!8m2!3d47.191446299999996!4d-122.4203768",,Washington,Chinese restaurant,Chinese restaurant,2,5.0
1070,Early Bird Cafe,"https://www.google.com/maps/place/Early+Bird+Cafe/@47.666970299999996,-122.19688599999999,14z/data=!4m8!1m2!2m1!1sEarly+Bird+Cafe!3m4!1s0x54901349c7eca5ef:0xa76ec4a1eb545fb7!8m2!3d47.666970299999996!4d-122.19688599999999",https://www.ordertogo.com/earlybird,Washington,Chinese takeaway,Chinese takeaway,2,3.7
1071,Peking House,"https://www.google.com/maps/place/Peking+House/@47.7561622,-122.3141715,14z/data=!4m8!1m2!2m1!1sPeking+House!3m4!1s0x54901054120cb6db:0xa94784480ea5ec0f!8m2!3d47.7561622!4d-122.3141715",https://orderpekinghousetogo.com/,Washington,Chinese restaurant,Chinese restaurant,2,4.0
1072,Sunflower Garden,"https://www.google.com/maps/place/Sunflower+Garden/@47.7048717,-122.3549438,14z/data=!4m8!1m2!2m1!1sSunflower+Garden!3m4!1s0x5490176478b8eda7:0xe447c367f4f5ab30!8m2!3d47.7048717!4d-122.3549438",https://www.sunflowergardenwa.com/,Washington,Chinese restaurant,"Chinese restaurant, Delivery Chinese restaurant, Mandarin restaurant, Restaurant",2,4.8
1073,Chinese Garden Restaurant,"https://www.google.com/maps/place/Chinese+Garden+Restaurant/@46.134127899999996,-122.93883389999999,14z/data=!4m8!1m2!2m1!1sChinese+Garden+Restaurant!3m4!1s0x54946c88f17044fb:0xb8edf31d95616013!8m2!3d46.134127899999996!4d-122.93883389999999",,Washington,Chinese restaurant,"Chinese restaurant, Asian restaurant, Takeout Restaurant",2,4.3
1074,Fortune Seafood Restaurant,"https://www.google.com/maps/place/Fortune+Seafood+Restaurant/@47.389204,-122.2031923,14z/data=!4m8!1m2!2m1!1sFortune+Seafood+Restaurant!3m4!1s0x54905ea1012efcb5:0x1f688761d0fe61ac!8m2!3d47.389204!4d-122.2031923",http://www.fortuneseafoodwa.com/,Washington,Chinese restaurant,"Chinese restaurant, Asian restaurant, Seafood restaurant, Restaurant",2,4.1
1075,Best Teriyaki & Sushi,"https://www.google.com/maps/place/Best+Teriyaki+%26+Sushi/@47.739986699999996,-121.9857768,14z/data=!4m8!1m2!2m1!1sBest+Teriyaki+%26+Sushi!3m4!1s0x54900adc1242dea3:0x4b82144e263c12fb!8m2!3d47.739986699999996!4d-121.9857768",http://www.bestteriyakisushi.com/,Washington,Chinese restaurant,"Chinese restaurant, Sushi restaurant",2,4.6
1076,Lynden Mandarin Chinese Restaurant,"https://www.google.com/maps/place/Lynden+Mandarin+Chinese+Restaurant/@48.9442661,-122.4515023,14z/data=!4m8!1m2!2m1!1sLynden+Mandarin+Chinese+Restaurant!3m4!1s0x5485b7031d3ea0c5:0x12223d8f4cc3111e!8m2!3d48.9442661!4d-122.4515023",http://lyndenmandarin.com/,Washington,Chinese restaurant,"Chinese restaurant, Sushi restaurant, Sushi takeaway",1,4.0
1077,Super Buffet,"https://www.google.com/maps/place/Super+Buffet/@47.0604015,-122.7678969,14z/data=!4m8!1m2!2m1!1sSuper+Buffet!3m4!1s0x54910bbdf997916d:0x2e91b6dd98033670!8m2!3d47.0604015!4d-122.7678969",https://www.superbuffetlacey.com/,Washington,Chinese restaurant,"Chinese restaurant, Buffet restaurant",2,3.5
1078,Teriyaki Wok,"https://www.google.com/maps/place/Teriyaki+Wok/@47.165949,-122.143064,14z/data=!4m8!1m2!2m1!1sTeriyaki+Wok!3m4!1s0x5490fac0b77a3417:0x83684725ee3a7e43!8m2!3d47.165949!4d-122.143064",https://www.facebook.com/teriyakiwok/,Washington,Chinese restaurant,"Chinese restaurant, Bubble tea store, Asian restaurant, Japanese restaurant",2,4.4
1079,Rice & Noodles Chinese Kitchen,"https://www.google.com/maps/place/Rice+%26+Noodles+Chinese+Kitchen/@47.6191864,-122.13048599999999,14z/data=!4m8!1m2!2m1!1sRice+%26+Noodles+Chinese+Kitchen!3m4!1s0x54906da50956adab:0x56d0ed22d673237e!8m2!3d47.6191864!4d-122.13048599999999",,Washington,Chinese restaurant,Chinese restaurant,2,3.9
1080,Forbidden City Restaurant,"https://www.google.com/maps/place/Forbidden+City+Restaurant/@47.1912058,-122.2764947,14z/data=!4m8!1m2!2m1!1sForbidden+City+Restaurant!3m4!1s0x5490fbfe9e473b7f:0xb1b7d5296c9124fb!8m2!3d47.1912058!4d-122.2764947",,Washington,Chinese restaurant,Chinese restaurant,2,3.6
1081,I Love Teriyaki,"https://www.google.com/maps/place/I+Love+Teriyaki/@47.707042699999995,-122.17663359999999,14z/data=!4m8!1m2!2m1!1sI+Love+Teriyaki!3m4!1s0x54900d81e280cb89:0x422850b9b9a1223!8m2!3d47.707042699999995!4d-122.17663359999999",http://www.iloveteriyakiwa.com/?utm_source=gmb,Washington,Chinese restaurant,"Chinese restaurant, Restaurant, Fast food restaurant, Japanese restaurant",2,4.5
1082,Baron's Sino Kitchen & Bar,"https://www.google.com/maps/place/Baron%27s+Sino+Kitchen+%26+Bar/@47.6149789,-122.20103309999999,14z/data=!4m8!1m2!2m1!1sBaron%27s+Sino+Kitchen+%26+Bar!3m4!1s0x54906c860c9dbdd3:0x8e941822f2954343!8m2!3d47.6149789!4d-122.20103309999999",https://www.baronsbellevue.com/,Washington,Chinese restaurant,"Chinese restaurant, Asian fusion restaurant, Bar, Takeout Restaurant",2,3.8
1083,Garden Hot Pot,"https://www.google.com/maps/place/Garden+Hot+Pot/@46.2276385,-119.25043749999999,14z/data=!4m8!1m2!2m1!1sGarden+Hot+Pot!3m4!1s0x54987a0456a7fbd3:0xfe61e87d0b13a32!8m2!3d46.2276385!4d-119.25043749999999",https://www.gardenhotpot.com/,Washington,Hot pot restaurant,Hot pot restaurant,2,4.5
1084,HK Dim Sum,"https://www.google.com/maps/place/HK+Dim+Sum/@47.7245333,-122.3438472,14z/data=!4m8!1m2!2m1!1sHK+Dim+Sum!3m4!1s0x5490113725640d7d:0xa262f5ee9ca19353!8m2!3d47.7245333!4d-122.3438472",http://www.hkdimsum.com/,Washington,Chinese restaurant,"Chinese restaurant, Dim sum restaurant, Restaurant",2,4.0
1085,Chinese Wok,"https://www.google.com/maps/place/Chinese+Wok/@46.934997599999996,-122.5908778,14z/data=!4m8!1m2!2m1!1sChinese+Wok!3m4!1s0x549113edb272cd75:0x5facbe1c5872b192!8m2!3d46.934997599999996!4d-122.5908778",,Washington,Chinese restaurant,Chinese restaurant,1,3.0
1086,Miah's Kitchen,"https://www.google.com/maps/place/Miah%27s+Kitchen/@47.6282,-122.1412778,14z/data=!4m8!1m2!2m1!1sMiah%27s+Kitchen!3m4!1s0x4108777f8116f067:0xe6845cd5084c5e94!8m2!3d47.6282!4d-122.1412778",https://www.miahskitchenonline.com/,Washington,Chinese restaurant,"Chinese restaurant, Chinese noodle restaurant, Takeout Restaurant, Noodle shop, Restaurant",2,4.0
1087,Milton Wok,"https://www.google.com/maps/place/Milton+Wok/@47.2503856,-122.29561489999999,14z/data=!4m8!1m2!2m1!1sMilton+Wok!3m4!1s0x5490f8f38715bd29:0x227707ba602498f8!8m2!3d47.2503856!4d-122.29561489999999",http://milton-wok.poi.place/,Washington,Chinese restaurant,Chinese restaurant,2,3.6
1088,Fortuna Cafe 2.0,"https://www.google.com/maps/place/Fortuna+Cafe+2.0/@47.5981161,-122.32318049999999,14z/data=!4m8!1m2!2m1!1sFortuna+Cafe+2.0!3m4!1s0x54906abc38281a61:0x2ff38a9270f0bdb8!8m2!3d47.5981161!4d-122.32318049999999",,Washington,Chinese restaurant,"Chinese restaurant, Cafe, Dessert shop",2,4.5
1089,Jade Restaurant and Lounge,"https://www.google.com/maps/place/Jade+Restaurant+and+Lounge/@47.6936438,-122.34436029999999,14z/data=!4m8!1m2!2m1!1sJade+Restaurant+and+Lounge!3m4!1s0x549015571c923d0f:0x374c8d22ae841478!8m2!3d47.6936438!4d-122.34436029999999",http://www.jaderestaurant.net/,Washington,Chinese restaurant,Chinese restaurant,2,4.1
1090,Rice N' Noodle Zone,"https://www.google.com/maps/place/Rice+N%27+Noodle+Zone/@47.6758394,-122.37672429999999,14z/data=!4m8!1m2!2m1!1sRice+N%27+Noodle+Zone!3m4!1s0x5490155d4a567c29:0xe63d080ceb344004!8m2!3d47.6758394!4d-122.37672429999999",https://www.ricenoodlezone.com/,Washington,Chinese restaurant,"Chinese restaurant, Asian fusion restaurant, Asian restaurant, Thai restaurant",2,3.9
1091,Hot Pot Factory,"https://www.google.com/maps/place/Hot+Pot+Factory/@47.631916399999994,-122.1359298,14z/data=!4m8!1m2!2m1!1sHot+Pot+Factory!3m4!1s0x54906d0a0268044f:0xabf206588b275414!8m2!3d47.631916399999994!4d-122.1359298",https://www.ordertogo.com/restaurants/hpfactory/mesh,Washington,Chinese restaurant,"Chinese restaurant, Hot pot restaurant, Noodle shop",2,4.1
1092,SpiceUp Szechuan Cuisine,"https://www.google.com/maps/place/SpiceUp+Szechuan+Cuisine/@47.6148108,-122.34432989999999,14z/data=!4m8!1m2!2m1!1sSpiceUp+Szechuan+Cuisine!3m4!1s0x5490154c17c21be7:0x9a78dc3f5b2b0aa5!8m2!3d47.6148108!4d-122.34432989999999",https://www.spiceupszechuanseattle.com/,Washington,Chinese restaurant,"Chinese restaurant, Sichuan restaurant",2,4.1
1093,House of Kee,"https://www.google.com/maps/place/House+of+Kee/@47.1173332,-122.2925219,14z/data=!4m8!1m2!2m1!1sHouse+of+Kee!3m4!1s0x5490fd3bb9c4b523:0x96969adf3b3bf086!8m2!3d47.1173332!4d-122.2925219",http://www.houseofkee.com/,Washington,Chinese restaurant,"Chinese restaurant, Bar, Takeout Restaurant",2,4.0
1094,Tea Leaf 2,"https://www.google.com/maps/place/Tea+Leaf+2/@47.0374969,-122.8217835,14z/data=!4m8!1m2!2m1!1sTea+Leaf+2!3m4!1s0x54910b45e23af161:0x3bf2e9e9069bc66d!8m2!3d47.0374969!4d-122.8217835",https://www.facebook.com/TEALEAF2/,Washington,Chinese restaurant,"Chinese restaurant, Restaurant",2,4.5
1095,Shanghai Kitchen,"https://www.google.com/maps/place/Shanghai+Kitchen/@47.1356895,-122.43614609999999,14z/data=!4m8!1m2!2m1!1sShanghai+Kitchen!3m4!1s0x5491022d03f479df:0x65a84b185e5cbb49!8m2!3d47.1356895!4d-122.43614609999999",,Washington,Chinese restaurant,Chinese restaurant,2,4.2
1096,E Lu Fa Restaurant,"https://www.google.com/maps/place/E+Lu+Fa+Restaurant/@61.5796759,-149.40372309999998,14z/data=!4m8!1m2!2m1!1sE+Lu+Fa+Restaurant!3m4!1s0x56c8de18b963c9cd:0x1eea6889b7d2ed66!8m2!3d61.5796759!4d-149.40372309999998",,Alaska,Chinese restaurant,Chinese restaurant,1,4.5
1097,Lin's Asian Bistro,"https://www.google.com/maps/place/Lin%27s+Asian+Bistro/@64.8374355,-147.7575304,14z/data=!4m8!1m2!2m1!1sLin%27s+Asian+Bistro!3m4!1s0x51325bf60b538f51:0x1828fc7f978879de!8m2!3d64.8374355!4d-147.7575304",http://www.linsasianbistroak.com/,Alaska,Chinese restaurant,"Chinese restaurant, Asian fusion restaurant",2,4.3
1098,Northern China Restaurant,"https://www.google.com/maps/place/Northern+China+Restaurant/@61.219325999999995,-149.7328645,14z/data=!4m8!1m2!2m1!1sNorthern+China+Restaurant!3m4!1s0x56c8969f9f9d21ff:0xb4fa61dae2d4754!8m2!3d61.219325999999995!4d-149.7328645",http://northernchinarestaurant.weebly.com/,Alaska,Chinese restaurant,Chinese restaurant,2,4.1
1099,Peking Chinese Restaurant,"https://www.google.com/maps/place/Peking+Chinese+Restaurant/@61.5798778,-149.4376322,14z/data=!4m8!1m2!2m1!1sPeking+Chinese+Restaurant!3m4!1s0x56c8de1321a8e05b:0xc9caed2238370ead!8m2!3d61.5798778!4d-149.4376322",,Alaska,Chinese restaurant,Chinese restaurant,1,3.9
1100,Charlie's Bakery & Chinese Restaurant,"https://www.google.com/maps/place/Charlie%27s+Bakery+%26+Chinese+Restaurant/@61.196000899999994,-149.885609,14z/data=!4m8!1m2!2m1!1sCharlie%27s+Bakery+%26+Chinese+Restaurant!3m4!1s0x56c897cf63a2ad67:0xb2eefce1039996ca!8m2!3d61.196000899999994!4d-149.885609",https://www.facebook.com/Charlies-Bakery-Chinese-Cuisine-116424918379815/,Alaska,Chinese restaurant,"Chinese restaurant, Asian restaurant, Bakery, Restaurant",2,4.5
1101,Kenny's Kitchen,"https://www.google.com/maps/place/Kenny%27s+Kitchen/@61.227674199999996,-149.7428406,14z/data=!4m8!1m2!2m1!1sKenny%27s+Kitchen!3m4!1s0x56c894279269ee39:0xc89c5e2083c23eb6!8m2!3d61.227674199999996!4d-149.7428406",https://kennyskitchenanc.com/,Alaska,Chinese restaurant,"Chinese restaurant, Delivery Restaurant",2,4.0
1102,Golden China,"https://www.google.com/maps/place/Golden+China/@64.4975,-165.4083514,14z/data=!4m8!1m2!2m1!1sGolden+China!3m4!1s0x57311bc0ceafe643:0x7f3965fcccde467a!8m2!3d64.4975!4d-165.4083514",https://www.facebook.com/pages/Golden-China/172245262787904,Alaska,Chinese restaurant,"Chinese restaurant, Restaurant",0,4.5
1103,Seong's Sushi Bar,"https://www.google.com/maps/place/Seong%27s+Sushi+Bar/@58.3017111,-134.4211844,14z/data=!4m8!1m2!2m1!1sSeong%27s+Sushi+Bar!3m4!1s0x5400df8679ca4199:0x1fe580eefa4bc054!8m2!3d58.3017111!4d-134.4211844",http://www.seongssushi.com/,Alaska,Chinese restaurant,"Chinese restaurant, Bar, Asian restaurant, Japanese restaurant, Sushi restaurant",1,4.5
1104,China Town Restaurant,"https://www.google.com/maps/place/China+Town+Restaurant/@61.2310047,-149.8739312,14z/data=!4m8!1m2!2m1!1sChina+Town+Restaurant!3m4!1s0x56c8bd8aab69c2c9:0x1e9da99bcd68ddfa!8m2!3d61.2310047!4d-149.8739312",http://www.chinatownanchorage.com/,Alaska,Chinese restaurant,Chinese restaurant,2,3.7
1105,New Asia,"https://www.google.com/maps/place/New+Asia/@61.216433599999995,-149.8223839,14z/data=!4m8!1m2!2m1!1sNew+Asia!3m4!1s0x56c8964289975d13:0x87062daee7ef85dc!8m2!3d61.216433599999995!4d-149.8223839",https://newasiaak.com/,Alaska,Chinese restaurant,Chinese restaurant,2,4.5
1106,Bethel Airport Restaurant (B.A.R),"https://www.google.com/maps/place/Bethel+Airport+Restaurant+%28B.A.R%29/@60.785323299999995,-161.83821759999998,14z/data=!4m8!1m2!2m1!1sBethel+Airport+Restaurant+%28B.A.R%29!3m4!1s0x5721ab84437c9e07:0x3e2c41ab6bdcc146!8m2!3d60.785323299999995!4d-161.83821759999998",,Alaska,Chinese restaurant,"Chinese restaurant, American restaurant, Restaurant, Coffee shop, Hamburger restaurant, Pizza delivery",0,3.4
1107,Jimmy's Sushi Restaurant,"https://www.google.com/maps/place/Jimmy%27s+Sushi+Restaurant/@61.3227112,-149.5693575,14z/data=!4m8!1m2!2m1!1sJimmy%27s+Sushi+Restaurant!3m4!1s0x56c8eb6e109edcf5:0xf63e64ea44e654f2!8m2!3d61.3227112!4d-149.5693575",https://eagleriversushi.com/,Alaska,Chinese restaurant,"Chinese restaurant, Asian restaurant, Asian fusion restaurant, Japanese restaurant, Restaurant, Sushi restaurant, Sushi takeaway",1,4.5
1108,Asiana Garden 2,"https://www.google.com/maps/place/Asiana+Garden+2/@61.188557499999995,-149.8944645,14z/data=!4m8!1m2!2m1!1sAsiana+Garden+2!3m4!1s0x56c897c3cf44c157:0xe8c56769bfccf0d4!8m2!3d61.188557499999995!4d-149.8944645",,Alaska,Chinese restaurant,Chinese restaurant,2,3.7
1109,Dragon Inn,"https://www.google.com/maps/place/Dragon+Inn/@58.3494654,-134.4912726,14z/data=!4m8!1m2!2m1!1sDragon+Inn!3m4!1s0x5400e03dd31f5285:0xd5adf56dbdc50e3!8m2!3d58.3494654!4d-134.4912726",https://lohuz.com/dragon-inn-663241-us,Alaska,Chinese restaurant,"Chinese restaurant, Restaurant",1,3.7
1110,Aurora Crepes & Peking Duck,"https://www.google.com/maps/place/Aurora+Crepes+%26+Peking+Duck/@64.85021569999999,-147.6998644,14z/data=!4m8!1m2!2m1!1sAurora+Crepes+%26+Peking+Duck!3m4!1s0x513245b4035872a9:0x603db192be141bd9!8m2!3d64.85021569999999!4d-147.6998644",https://www.auroracrepes.com/,Alaska,Chinese restaurant,Chinese restaurant,2,4.4
1111,Bamboo Panda,"https://www.google.com/maps/place/Bamboo+Panda/@64.83553979999999,-147.7400862,14z/data=!4m8!1m2!2m1!1sBamboo+Panda!3m4!1s0x51325ab55e36bf49:0x2d274b98cb425902!8m2!3d64.83553979999999!4d-147.7400862",https://bamboopandaak.com/,Alaska,Chinese restaurant,"Chinese restaurant, Asian restaurant, Family restaurant, Delivery Restaurant, Restaurant",2,4.0
1112,Aleutian China,"https://www.google.com/maps/place/Aleutian+China/@55.3419836,-160.4964661,14z/data=!4m8!1m2!2m1!1sAleutian+China!3m4!1s0x56f98932ecc97459:0x4f0eb62d90fb5fca!8m2!3d55.3419836!4d-160.4964661",,Alaska,Chinese restaurant,Chinese restaurant,0,4.5
1113,Peking Restaurant,"https://www.google.com/maps/place/Peking+Restaurant/@60.104519999999994,-149.4402566,14z/data=!4m8!1m2!2m1!1sPeking+Restaurant!3m4!1s0x56c79c630a70f1fd:0xbc63ee12421be96f!8m2!3d60.104519999999994!4d-149.4402566",,Alaska,Chinese restaurant,Chinese restaurant,0,3.9
1114,Fu Kung Chinese Restaurant,"https://www.google.com/maps/place/Fu+Kung+Chinese+Restaurant/@61.1280784,-146.3479004,14z/data=!4m8!1m2!2m1!1sFu+Kung+Chinese+Restaurant!3m4!1s0x56b646903520d513:0xbd3fba6dadbff484!8m2!3d61.1280784!4d-146.3479004",http://www.asiancuisinvaldez.com/,Alaska,Chinese restaurant,Chinese restaurant,0,4.1
1115,Rice Garden Anchorage,"https://www.google.com/maps/place/Rice+Garden+Anchorage/@61.218373799999995,-149.8462065,14z/data=!4m8!1m2!2m1!1sRice+Garden+Anchorage!3m4!1s0x56c897cf6562fa45:0x47f1f68c204302d1!8m2!3d61.218373799999995!4d-149.8462065",https://www.facebook.com/RiceGardenAnchorage,Alaska,Chinese restaurant,Chinese restaurant,2,4.5
1116,China King,"https://www.google.com/maps/place/China+King/@61.198220299999996,-149.8699555,14z/data=!4m8!1m2!2m1!1sChina+King!3m4!1s0x56c897ca26f2e707:0x3ccbd93228a58c71!8m2!3d61.198220299999996!4d-149.8699555",,Alaska,Chinese restaurant,"Chinese restaurant, Restaurant",2,3.5
1117,Panda Chinese Restaurant,"https://www.google.com/maps/place/Panda+Chinese+Restaurant/@61.1954577,-149.8711507,14z/data=!4m8!1m2!2m1!1sPanda+Chinese+Restaurant!3m4!1s0x56c897c9d2127e65:0x67073d9b8e5951be!8m2!3d61.1954577!4d-149.8711507",http://www.akpandarestaurant.com/,Alaska,Chinese restaurant,"Chinese restaurant, Asian restaurant",2,3.5
1118,China Sea Restaurant,"https://www.google.com/maps/place/China+Sea+Restaurant/@60.4805758,-151.072408,14z/data=!4m8!1m2!2m1!1sChina+Sea+Restaurant!3m4!1s0x56c6617cc921cd8f:0x55b1c39952365bd4!8m2!3d60.4805758!4d-151.072408",,Alaska,Chinese restaurant,Chinese restaurant,0,3.7
1119,Golden Gate Restaurant,"https://www.google.com/maps/place/Golden+Gate+Restaurant/@61.181666199999995,-149.8146538,14z/data=!4m8!1m2!2m1!1sGolden+Gate+Restaurant!3m4!1s0x56c897050691802b:0xfb66af34bb1cfde0!8m2!3d61.181666199999995!4d-149.8146538",https://goldengatechineserestaurantalaska907.business.site/?utm_source=gmb,Alaska,Chinese restaurant,"Chinese restaurant, Restaurant",2,4.1
1120,Oriental Garden,"https://www.google.com/maps/place/Oriental+Garden/@61.215432899999996,-149.73408799999999,14z/data=!4m8!1m2!2m1!1sOriental+Garden!3m4!1s0x56c896a21a962615:0x9f84935f5aa6cb87!8m2!3d61.215432899999996!4d-149.73408799999999",,Alaska,Chinese restaurant,Chinese restaurant,2,3.8
1121,Dragon Seafood Restaurant & Grill,"https://www.google.com/maps/place/Dragon+Seafood+Restaurant+%26+Grill/@61.18018,-149.89381899999998,14z/data=!4m8!1m2!2m1!1sDragon+Seafood+Restaurant+%26+Grill!3m4!1s0x56c897eb17c8280d:0x532421b530229d33!8m2!3d61.18018!4d-149.89381899999998",,Alaska,Chinese restaurant,"Chinese restaurant, Buffet restaurant, Seafood restaurant",2,3.6
1122,Shanghai Thai To Go,"https://www.google.com/maps/place/Shanghai+Thai+To+Go/@64.84845179999999,-147.8490388,14z/data=!4m8!1m2!2m1!1sShanghai+Thai+To+Go!3m4!1s0x51325b47c199f87b:0x547a1f82f2641b06!8m2!3d64.84845179999999!4d-147.8490388",https://facebook.com/Shanghai-Thai-To-Go-1810315085662041/,Alaska,Chinese restaurant,"Chinese restaurant, Thai restaurant",1,4.6
1123,New Peking Restaurant,"https://www.google.com/maps/place/New+Peking+Restaurant/@60.557530899999996,-151.2509459,14z/data=!4m8!1m2!2m1!1sNew+Peking+Restaurant!3m4!1s0x56c67c9c15318a3f:0x9670a8874b930a9a!8m2!3d60.557530899999996!4d-151.2509459",https://m.site.naver.com/qrcode/view.nhn?v=0QaJ1,Alaska,Chinese restaurant,Chinese restaurant,0,3.9
1124,Golden International Chinese Cuisine,"https://www.google.com/maps/place/Golden+International+Chinese+Cuisine/@60.501708,-150.99147299999998,14z/data=!4m8!1m2!2m1!1sGolden+International+Chinese+Cuisine!3m4!1s0x56c666cb54507749:0x6dc758770e9e6743!8m2!3d60.501708!4d-150.99147299999998",http://www.goldeninternationalak.com/,Alaska,Chinese restaurant,"Chinese restaurant, Asian fusion restaurant, Sushi restaurant",0,3.8
1125,China Lights Oriental Cuisine,"https://www.google.com/maps/place/China+Lights+Oriental+Cuisine/@61.330275,-149.570693,14z/data=!4m8!1m2!2m1!1sChina+Lights+Oriental+Cuisine!3m4!1s0x56c8eb738333dfc3:0x6ffadd82055ccb53!8m2!3d61.330275!4d-149.570693",http://chinalightsak.com/,Alaska,Chinese restaurant,Chinese restaurant,1,3.5
1126,Good Fortune Restaurant,"https://www.google.com/maps/place/Good+Fortune+Restaurant/@55.342468,-131.6426639,14z/data=!4m8!1m2!2m1!1sGood+Fortune+Restaurant!3m4!1s0x540c250470c0d4fb:0x273c549e22ea9f4f!8m2!3d55.342468!4d-131.6426639",https://goodfortuneketchikan.com/index.html,Alaska,Chinese restaurant,"Chinese restaurant, Delivery Restaurant",1,3.9
1127,China Garden,"https://www.google.com/maps/place/China+Garden/@61.1733331,-149.90283549999998,14z/data=!4m8!1m2!2m1!1sChina+Garden!3m4!1s0x56c897cecdef63c9:0x77c6352f407aef28!8m2!3d61.1733331!4d-149.90283549999998",,Alaska,Chinese restaurant,"Chinese restaurant, Delivery Chinese restaurant, Delivery service, Korean restaurant",2,3.2
