ZIP_CODE,STATE,RUCA1,RUCA2
1013,MA,1,1
1014,MA,1,1
1020,MA,1,1
1021,MA,1,1
1022,MA,1,1
1026,MA,2,2
1027,MA,1,1
1028,MA,1,1
1029,MA,10,10
1030,MA,1,1
1031,MA,3,3
1032,MA,2,2
1033,MA,1,1
1034,MA,2,2
1035,MA,1,1
1036,MA,1,1
1037,MA,3,3
1038,MA,2,2
1039,MA,2,2
1040,MA,1,1
1041,MA,1,1
1050,MA,2,2
1053,MA,1,1
1054,MA,2,2
1056,MA,1,1
1057,MA,2,2
1059,MA,1,1
1060,MA,1,1
1061,MA,1,1
1062,MA,1,1
1063,MA,1,1
1066,MA,2,2
1068,MA,2,2
1069,MA,1,1
1070,MA,2,2
1071,MA,2,2
1072,MA,2,2
1073,MA,2,2
1074,MA,2,2
1075,MA,1,1
1077,MA,1,1
1079,MA,1,1
1080,MA,1,1
1081,MA,2,2
1082,MA,2,2
1083,MA,2,2
1084,MA,2,2
1085,MA,1,1
1086,MA,1,1
1088,MA,2,2
1089,MA,1,1
1090,MA,1,1
1092,MA,2,2
1093,MA,2,2
1094,MA,3,3
1095,MA,1,1
1096,MA,2,2
1097,MA,2,2
1098,MA,2,2
1101,MA,1,1
1102,MA,1,1
1103,MA,1,1
1104,MA,1,1
1105,MA,1,1
1106,MA,1,1
1107,MA,1,1
1108,MA,1,1
1109,MA,1,1
1111,MA,1,1
1115,MA,1,1
1116,MA,1,1
1118,MA,1,1
1119,MA,1,1
1128,MA,1,1
1129,MA,1,1
1138,MA,1,1
1139,MA,1,1
1144,MA,1,1
1151,MA,1,1
1152,MA,1,1
1199,MA,1,1
1201,MA,1,1
1202,MA,1,1
1203,MA,1,1
1220,MA,1,1
1222,MA,10,10
1223,MA,2,2
1224,MA,1,1
1225,MA,1,1
1226,MA,1,1
1227,MA,1,1
1229,MA,10,10
1230,MA,7,7
1235,MA,2,2
1236,MA,7,7
1237,MA,1,1
1238,MA,7,7
1240,MA,7,7
1242,MA,7,7
1243,MA,2,2
1244,MA,10,10
1245,MA,10,10
1247,MA,4,4
1252,MA,10,10
1253,MA,10,10
1254,MA,2,2
1255,MA,10,10
1256,MA,2,2
1257,MA,10,10
1258,MA,10,10
1259,MA,10,10
1260,MA,7,7
1262,MA,10,10
1263,MA,10,10
1264,MA,10,10
1266,MA,10,10
1267,MA,4,4
1270,MA,2,2
1301,MA,4,4
1302,MA,4,4
1330,MA,2,2
1331,MA,4,4
1337,MA,5,5
1338,MA,10,10
1339,MA,6,6
1340,MA,6,6
1341,MA,2,2
1342,MA,2,2
1343,MA,2,2
1344,MA,6,6
1346,MA,6,6
1347,MA,4,4
1349,MA,4,4
1350,MA,6,6
1351,MA,4,4
1354,MA,5,5
1355,MA,2,2
1360,MA,5,5
1364,MA,4,4
1366,MA,3,3
1367,MA,6,6
1368,MA,1,1
1370,MA,10,10
1373,MA,2,2
1375,MA,2,2
1376,MA,4,4
1378,MA,6,6
1379,MA,6,6
1380,MA,6,6
1420,MA,1,1
1430,MA,2,2
1431,MA,2,2
1432,MA,1,1
1434,MA,2,2
1436,MA,1,1
1438,MA,1,1
1440,MA,1,1
1441,MA,1,1
1450,MA,1,1
1451,MA,2,2
1452,MA,2,2
1453,MA,1,1
1460,MA,1,1
1462,MA,1,1
1463,MA,1,1
1464,MA,1,1
1467,MA,2,2
1468,MA,1,1
1469,MA,1,1
1470,MA,1,1
1471,MA,1,1
1472,MA,1,1
1473,MA,1,1
1474,MA,1,1
1475,MA,1,1
1501,MA,1,1
1503,MA,1,1
1504,MA,1,1
1505,MA,1,1
1506,MA,2,2
1507,MA,2,2
1508,MA,1,1
1509,MA,1,1
1510,MA,1,1
1515,MA,2,2
1516,MA,1,1
1518,MA,1,1
1519,MA,1,1
1520,MA,1,1
1521,MA,2,2
1522,MA,1,1
1523,MA,1,1
1524,MA,1,1
1525,MA,1,1
1526,MA,1,1
1527,MA,1,1
1529,MA,1,1
1531,MA,3,3
1532,MA,1,1
1534,MA,1,1
1535,MA,2,2
1536,MA,1,1
1537,MA,1,1
1538,MA,1,1
1540,MA,1,1
1541,MA,2,2
1542,MA,1,1
1543,MA,1,1
1545,MA,1,1
1546,MA,1,1
1550,MA,1,1
1560,MA,1,1
1561,MA,1,1
1562,MA,1,1
1564,MA,1,1
1566,MA,1,1
1568,MA,1,1
1569,MA,1,1
1570,MA,1,1
1571,MA,1,1
1581,MA,1,1
1583,MA,1,1
1585,MA,2,2
1586,MA,1,1
1588,MA,1,1
1590,MA,1,1
1601,MA,1,1
1602,MA,1,1
1603,MA,1,1
1604,MA,1,1
1605,MA,1,1
1606,MA,1,1
1607,MA,1,1
1608,MA,1,1
1609,MA,1,1
1610,MA,1,1
1611,MA,1,1
1612,MA,1,1
1613,MA,1,1
1614,MA,1,1
1615,MA,1,1
1653,MA,1,1
1655,MA,1,1
1701,MA,1,1
1702,MA,1,1
1703,MA,1,1
1704,MA,1,1
1705,MA,1,1
1718,MA,1,1
1719,MA,1,1
1720,MA,1,1
1721,MA,1,1
1730,MA,1,1
1731,MA,1,1
1740,MA,2,2
1741,MA,2,2
1742,MA,1,1
1745,MA,1,1
1746,MA,1,1
1747,MA,1,1
1748,MA,1,1
1749,MA,1,1
1752,MA,1,1
1754,MA,1,1
1756,MA,1,1
1757,MA,1,1
1760,MA,1,1
1770,MA,1,1
1772,MA,1,1
1773,MA,1,1
1775,MA,1,1
1776,MA,1,1
1778,MA,1,1
1784,MA,1,1
1801,MA,1,1
1803,MA,1,1
1805,MA,1,1
1810,MA,1,1
1812,MA,1,1
1813,MA,1,1
1815,MA,1,1
1821,MA,1,1
1822,MA,1,1
1824,MA,1,1
1826,MA,1,1
1827,MA,2,2
1830,MA,1,1
1831,MA,1,1
1832,MA,1,1
1833,MA,1,1
1834,MA,1,1
1835,MA,1,1
1840,MA,1,1
1841,MA,1,1
1842,MA,1,1
1843,MA,1,1
1844,MA,1,1
1845,MA,1,1
1850,MA,1,1
1851,MA,1,1
1852,MA,1,1
1853,MA,1,1
1854,MA,1,1
1860,MA,1,1
1862,MA,1,1
1863,MA,1,1
1864,MA,1,1
1865,MA,1,1
1866,MA,1,1
1867,MA,1,1
1876,MA,1,1
1879,MA,1,1
1880,MA,1,1
1885,MA,1,1
1886,MA,1,1
1887,MA,1,1
1888,MA,1,1
1889,MA,1,1
1890,MA,1,1
1899,MA,1,1
1901,MA,1,1
1902,MA,1,1
1903,MA,1,1
1904,MA,1,1
1905,MA,1,1
1906,MA,1,1
1907,MA,1,1
1908,MA,1,1
1910,MA,1,1
1913,MA,1,1
1915,MA,1,1
1921,MA,1,1
1922,MA,1,1
1923,MA,1,1
1929,MA,1,1
1930,MA,1,1
1931,MA,1,1
1936,MA,1,1
1937,MA,1,1
1938,MA,1,1
1940,MA,1,1
1944,MA,1,1
1945,MA,1,1
